SalesTerritoryKey,SalesPerson,Name
1,SalesPerson1@adventureworks.com,Salesperson One
2,SalesPerson1@adventureworks.com,Salesperson One
3,SalesPerson1@adventureworks.com,Salesperson One
4,SalesPerson1@adventureworks.com,Salesperson One
5,SalesPerson1@adventureworks.com,Salesperson One
6,SalesPerson2@adventureworks.com,Salesperson Two
7,SalesPerson3@adventureworks.com,Salesperson Three
8,SalesPerson3@adventureworks.com,Salesperson Three
9,SalesPerson4@adventureworks.com,Salesperson Four
10,SalesPerson3@adventureworks.com,Salesperson Three
11,SalesPerson1@adventureworks.com,Salesperson One
11,SalesPerson2@adventureworks.com,Salesperson Two
11,SalesPerson3@adventureworks.com,Salesperson Three
11,SalesPerson4@adventureworks.com,Salesperson Four
